descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
Detergente PVC,4,"MAT-01353, MAT-02761, MAT-06001, MAT-06001",MAT-02761,"MAT-01353, MAT-06001, MAT-06001",Limpeza,834250.353093454,48.971907272325026,15730
Gancho Inox,5,"MAT-00146, MAT-00436, MAT-02241, MAT-02678, MAT-02726",MAT-02726,"MAT-00146, MAT-00436, MAT-02241, MAT-02678",Acessórios,807179.35,170.084,11810
Capacete Cobre,7,"MAT-00214, MAT-01077, MAT-01284, MAT-02051, MAT-02329, MAT-02452, MAT-06001",MAT-01284,"MAT-00214, MAT-01077, MAT-02051, MAT-02329, MAT-02452, MAT-06001",EPI,787744.8948164469,40.982093112888485,19155
Alicate Inox,10,"MAT-00133, MAT-00377, MAT-00667, MAT-00805, MAT-01039, MAT-01273, MAT-01708, MAT-01947, MAT-02266, MAT-02842",MAT-00377,"MAT-00133, MAT-00667, MAT-00805, MAT-01039, MAT-01273, MAT-01708, MAT-01947, MAT-02266, MAT-02842",Ferramentas,784714.15,41.525,21994
Óculos Plástico,13,"MAT-00144, MAT-00328, MAT-00452, MAT-01174, MAT-01298, MAT-01870, MAT-02125, MAT-02234, MAT-02310, MAT-02873, MAT-02973, MAT-06001, MAT-06001",MAT-01298,"MAT-00144, MAT-00328, MAT-00452, MAT-01174, MAT-01870, MAT-02125, MAT-02234, MAT-02310, MAT-02873, MAT-02973, MAT-06001, MAT-06001",EPI,783819.6683136611,21.154595669279956,33944
Parafuso M12 Latão,3,"MAT-00165, MAT-00521, MAT-00712",MAT-00521,"MAT-00165, MAT-00712",Fixação,772771.57,80.11,5581
Fluido Cobre,10,"MAT-00488, MAT-00502, MAT-00783, MAT-00892, MAT-01067, MAT-01366, MAT-02252, MAT-02497, MAT-06001, MAT-06001",MAT-00502,"MAT-00488, MAT-00783, MAT-00892, MAT-01067, MAT-01366, MAT-02252, MAT-02497, MAT-06001, MAT-06001",Lubrificante,760261.7280788235,203.3275769705962,29227
Vedação Latão,12,"MAT-00047, MAT-00055, MAT-00065, MAT-00207, MAT-00870, MAT-00912, MAT-01424, MAT-01805, MAT-01827, MAT-01901, MAT-02996, MAT-06001",MAT-00065,"MAT-00047, MAT-00055, MAT-00207, MAT-00870, MAT-00912, MAT-01424, MAT-01805, MAT-01827, MAT-01901, MAT-02996, MAT-06001",Peças,756558.1966041072,82.2313712092707,23338
Anel Inox,9,"MAT-00225, MAT-01277, MAT-01358, MAT-02061, MAT-02275, MAT-02442, MAT-02639, MAT-02648, MAT-06001",MAT-02275,"MAT-00225, MAT-01277, MAT-01358, MAT-02061, MAT-02442, MAT-02639, MAT-02648, MAT-06001",Peças,752200.1311843661,87.26915659592441,18304
Chave Plástico,9,"MAT-00069, MAT-00089, MAT-00191, MAT-00235, MAT-00398, MAT-00758, MAT-01575, MAT-02683, MAT-06001",MAT-00191,"MAT-00069, MAT-00089, MAT-00235, MAT-00398, MAT-00758, MAT-01575, MAT-02683, MAT-06001",Ferramentas,739857.3968800115,28.703124743177153,29356
Chave Inox,9,"MAT-00107, MAT-00299, MAT-01232, MAT-01336, MAT-01621, MAT-01694, MAT-02208, MAT-02836, MAT-06001",MAT-01336,"MAT-00107, MAT-00299, MAT-01232, MAT-01621, MAT-01694, MAT-02208, MAT-02836, MAT-06001",Ferramentas,739302.8070566986,27.721514620094602,23557
LED Plástico,10,"MAT-00074, MAT-00338, MAT-00505, MAT-00508, MAT-01086, MAT-01629, MAT-02118, MAT-02511, MAT-06001, MAT-06001",MAT-02511,"MAT-00074, MAT-00338, MAT-00505, MAT-00508, MAT-01086, MAT-01629, MAT-02118, MAT-06001, MAT-06001",Eletrônico,732548.98212875,25.85634139309149,21095
Reagente PVC,4,"MAT-00097, MAT-01264, MAT-02028, MAT-02224",MAT-02224,"MAT-00097, MAT-01264, MAT-02028",Químico,721958.77,290.46750000000003,6963
"Tubo 1.1/4"" Aço",4,"MAT-00285, MAT-02306, MAT-02601, MAT-06001",MAT-02601,"MAT-00285, MAT-02306, MAT-06001",Hidráulico,708296.8865185933,496.06973693452545,11341
Sensor Aço,5,"MAT-00095, MAT-00137, MAT-00242, MAT-01940, MAT-01984",MAT-00137,"MAT-00095, MAT-00242, MAT-01940, MAT-01984",Eletrônico,700279.4,51.522000000000006,15365
Reagente Alumínio,3,"MAT-00006, MAT-00945, MAT-01194",MAT-00006,"MAT-00945, MAT-01194",Químico,696799.16,112.57666666666667,6256
Etiqueta Latão,8,"MAT-00965, MAT-01161, MAT-01837, MAT-02092, MAT-02204, MAT-02670, MAT-02745, MAT-02949",MAT-02745,"MAT-00965, MAT-01161, MAT-01837, MAT-02092, MAT-02204, MAT-02670, MAT-02949",Embalagem,683978.0399999999,26.006249999999998,21708
Caixa Aço,9,"MAT-00882, MAT-01017, MAT-01129, MAT-01342, MAT-02525, MAT-02531, MAT-02643, MAT-02696, MAT-06001",MAT-01342,"MAT-00882, MAT-01017, MAT-01129, MAT-02525, MAT-02531, MAT-02643, MAT-02696, MAT-06001",Embalagem,678699.475547384,24.296664554872365,21522
Desinfetante Inox,5,"MAT-00110, MAT-00648, MAT-01507, MAT-02905, MAT-06001",MAT-00110,"MAT-00648, MAT-01507, MAT-02905, MAT-06001",Limpeza,673292.7166153889,37.88103457055815,13983
Grampeador Alumínio,9,"MAT-00113, MAT-00871, MAT-01497, MAT-01869, MAT-02142, MAT-02154, MAT-02255, MAT-02720, MAT-06001",MAT-02255,"MAT-00113, MAT-00871, MAT-01497, MAT-01869, MAT-02142, MAT-02154, MAT-02720, MAT-06001",Escritório,622439.8433683923,27.74366331067374,19197
Módulo Cobre,7,"MAT-00258, MAT-00633, MAT-00634, MAT-00985, MAT-02712, MAT-02717, MAT-06001",MAT-02712,"MAT-00258, MAT-00633, MAT-00634, MAT-00985, MAT-02717, MAT-06001",Eletrônico,599901.5929927622,62.01732874369117,16512
Martelo Alumínio,6,"MAT-00016, MAT-00226, MAT-01440, MAT-01633, MAT-01894, MAT-02400",MAT-00226,"MAT-00016, MAT-01440, MAT-01633, MAT-01894, MAT-02400",Ferramentas,577182.44,25.66,20237
ácido Latão,7,"MAT-00084, MAT-00662, MAT-00750, MAT-00963, MAT-01492, MAT-02550, MAT-02910",MAT-00963,"MAT-00084, MAT-00662, MAT-00750, MAT-01492, MAT-02550, MAT-02910",Químico,573524.12,25.811428571428575,21061
Arruela Inox,4,"MAT-00486, MAT-00556, MAT-01172, MAT-02808",MAT-02808,"MAT-00486, MAT-00556, MAT-01172",Fixação,565304.62,58.272499999999994,9327
Vedação Alumínio,7,"MAT-00790, MAT-00914, MAT-01101, MAT-01260, MAT-02164, MAT-02314, MAT-06001",MAT-01260,"MAT-00790, MAT-00914, MAT-01101, MAT-02164, MAT-02314, MAT-06001",Peças,542040.8613856162,22.33510107486165,15393
Detergente Plástico,5,"MAT-00802, MAT-02056, MAT-02089, MAT-02162, MAT-02296",MAT-00802,"MAT-02056, MAT-02089, MAT-02162, MAT-02296",Limpeza,541463.0,25.953999999999997,20322
Fita Plástico,6,"MAT-00266, MAT-01051, MAT-01722, MAT-02407, MAT-02976, MAT-06001",MAT-00266,"MAT-01051, MAT-01722, MAT-02407, MAT-02976, MAT-06001",Embalagem,533582.9414254387,52.812319362870575,18427
Detergente Cobre,6,"MAT-00695, MAT-01079, MAT-01220, MAT-02410, MAT-02478, MAT-06001",MAT-02478,"MAT-00695, MAT-01079, MAT-01220, MAT-02410, MAT-06001",Limpeza,523551.24340000504,20.647663965907014,16847
tomada PVC,10,"MAT-00250, MAT-00683, MAT-01551, MAT-01672, MAT-01818, MAT-02217, MAT-02950, MAT-06001, MAT-06001, MAT-06001",MAT-01818,"MAT-00250, MAT-00683, MAT-01551, MAT-01672, MAT-02217, MAT-02950, MAT-06001, MAT-06001, MAT-06001",Elétrico,504665.5656620723,25.786194807625947,25243
Conexão PVC,12,"MAT-01278, MAT-01318, MAT-01454, MAT-01610, MAT-01840, MAT-02035, MAT-02369, MAT-02702, MAT-02802, MAT-02813, MAT-06001, MAT-06001",MAT-02035,"MAT-01278, MAT-01318, MAT-01454, MAT-01610, MAT-01840, MAT-02369, MAT-02702, MAT-02802, MAT-02813, MAT-06001, MAT-06001",MÚLTIPLAS,498289.9842087139,19.012603095743234,25779
Bucha Inox,6,"MAT-00025, MAT-00238, MAT-00273, MAT-00972, MAT-02022, MAT-02449",MAT-02022,"MAT-00025, MAT-00238, MAT-00273, MAT-00972, MAT-02449",Mecânico,496323.26,37.681666666666665,11349
Etiqueta Cobre,4,"MAT-00567, MAT-01014, MAT-01428, MAT-02386",MAT-02386,"MAT-00567, MAT-01014, MAT-01428",Embalagem,495867.43,40.05,11021
Junta Aço,4,"MAT-00046, MAT-01664, MAT-01777, MAT-02117",MAT-00046,"MAT-01664, MAT-01777, MAT-02117",Peças,494952.03,38.129999999999995,7657
Clipe Plástico,2,"MAT-00106, MAT-02667",MAT-02667,MAT-00106,Acessórios,474769.97,81.91499999999999,5686
Abraçadeira Inox,5,"MAT-00067, MAT-01005, MAT-01311, MAT-01544, MAT-01615",MAT-01005,"MAT-00067, MAT-01311, MAT-01544, MAT-01615",Acessórios,468112.22,35.008,15547
Cabo 4mm² Cobre,2,"MAT-01117, MAT-01913",MAT-01117,MAT-01913,Elétrico,459295.19999999995,64.14,5768
Presilha Alumínio,7,"MAT-00553, MAT-01307, MAT-01386, MAT-02211, MAT-02265, MAT-02620, MAT-06001",MAT-01386,"MAT-00553, MAT-01307, MAT-02211, MAT-02265, MAT-02620, MAT-06001",Acessórios,458628.0085805554,17.421494216216782,22399
Spray PVC,6,"MAT-00051, MAT-00241, MAT-00602, MAT-00776, MAT-01113, MAT-01849",MAT-01849,"MAT-00051, MAT-00241, MAT-00602, MAT-00776, MAT-01113",Lubrificante,457630.42,54.85166666666667,7557
Base Plástico,8,"MAT-00183, MAT-00407, MAT-01092, MAT-01429, MAT-01577, MAT-02875, MAT-06001, MAT-06001",MAT-02875,"MAT-00183, MAT-00407, MAT-01092, MAT-01429, MAT-01577, MAT-06001, MAT-06001",Químico,454774.9592550541,20.824504022446426,13874
Parafuso M12 Aço,2,"MAT-02518, MAT-06001",MAT-02518,MAT-06001,Fixação,454488.75,128.025,3550
Pano Alumínio,3,"MAT-00467, MAT-01868, MAT-02750",MAT-00467,"MAT-01868, MAT-02750",Limpeza,449888.97000000003,34.89333333333334,9661
Detergente Alumínio,6,"MAT-00391, MAT-00479, MAT-00583, MAT-02095, MAT-02753, MAT-06001",MAT-02753,"MAT-00391, MAT-00479, MAT-00583, MAT-02095, MAT-06001",Limpeza,444977.74827471917,20.51828583108807,11623
Alicate Aço,4,"MAT-00849, MAT-01245, MAT-01857, MAT-02464",MAT-01245,"MAT-00849, MAT-01857, MAT-02464",Ferramentas,440771.50999999995,284.84,5730
Eixo Cobre,4,"MAT-01235, MAT-01595, MAT-02245, MAT-02728",MAT-01595,"MAT-01235, MAT-02245, MAT-02728",Mecânico,439953.89,318.215,9988
Alicate em Latão,2,"MAT-02619, MAT-06001",MAT-02619,MAT-06001,Ferramentas,439665.715949042,85.70481792378988,5130
Etiqueta PVC,2,"MAT-00036, MAT-02760",MAT-02760,MAT-00036,Embalagem,439186.58,69.95,6370
Papelão Aço,6,"MAT-00905, MAT-01677, MAT-01954, MAT-02080, MAT-02699, MAT-02814",MAT-02080,"MAT-00905, MAT-01677, MAT-01954, MAT-02699, MAT-02814",Embalagem,427535.52999999997,22.906666666666666,15230
Junta Plástico,7,"MAT-00246, MAT-00275, MAT-00867, MAT-01460, MAT-01578, MAT-02357, MAT-02392",MAT-00867,"MAT-00246, MAT-00275, MAT-01460, MAT-01578, MAT-02357, MAT-02392",Peças,417772.36,230.99999999999997,15153
Papelão Cobre,5,"MAT-00136, MAT-00915, MAT-01471, MAT-01800, MAT-02935",MAT-01471,"MAT-00136, MAT-00915, MAT-01800, MAT-02935",Embalagem,411502.25,38.379999999999995,9176
Base Latão,7,"MAT-00263, MAT-00693, MAT-01018, MAT-01204, MAT-01717, MAT-01832, MAT-06001",MAT-00263,"MAT-00693, MAT-01018, MAT-01204, MAT-01717, MAT-01832, MAT-06001",Químico,411380.1600935251,251.1762629530813,13990
Rebite PVC,5,"MAT-00934, MAT-01874, MAT-01976, MAT-02700, MAT-06001",MAT-00934,"MAT-01874, MAT-01976, MAT-02700, MAT-06001",Fixação,407219.3688380961,21.534202898248772,12943
Parafuso M8 Cobre,3,"MAT-00441, MAT-01322, MAT-01362",MAT-00441,"MAT-01322, MAT-01362",Fixação,397418.91000000003,360.7666666666667,9193
Ácido PVC,7,"MAT-01197, MAT-01241, MAT-01511, MAT-02041, MAT-02167, MAT-02283, MAT-02363",MAT-02041,"MAT-01197, MAT-01241, MAT-01511, MAT-02167, MAT-02283, MAT-02363",Químico,391650.73,16.751428571428573,18854
Suporte Latão,7,"MAT-00357, MAT-00426, MAT-00573, MAT-01140, MAT-01402, MAT-02546, MAT-06001",MAT-00426,"MAT-00357, MAT-00573, MAT-01140, MAT-01402, MAT-02546, MAT-06001",Acessórios,391260.63824506925,172.4774252396355,5767
Tomada Plástico,3,"MAT-01715, MAT-02205, MAT-02262",MAT-02205,"MAT-01715, MAT-02262",Elétrico,388269.92999999993,47.65,5268
Resistor PVC,9,"MAT-00086, MAT-00757, MAT-00837, MAT-00990, MAT-02269, MAT-02412, MAT-02765, MAT-06001, MAT-06001",MAT-00990,"MAT-00086, MAT-00757, MAT-00837, MAT-02269, MAT-02412, MAT-02765, MAT-06001, MAT-06001",Eletrônico,386064.3723160186,33.61729719300945,14973
Anel em Latão,3,"MAT-00005, MAT-02070, MAT-02156",MAT-00005,"MAT-02070, MAT-02156",Peças,379250.98,223.92,6202
Registro Inox,5,"MAT-00031, MAT-00315, MAT-01804, MAT-06001, MAT-06001",MAT-01804,"MAT-00031, MAT-00315, MAT-06001, MAT-06001",Hidráulico,378417.3128234228,19.037918068216744,18207
Bota Aço,2,"MAT-00349, MAT-00859",MAT-00859,MAT-00349,EPI,365368.01000000007,158.845,3682
Catalisador PVC,4,"MAT-00551, MAT-01981, MAT-02315, MAT-02918",MAT-02918,"MAT-00551, MAT-01981, MAT-02315",Químico,363071.18999999994,400.5575,9570
Parafuso M12 Plástico,4,"MAT-02009, MAT-02218, MAT-02385, MAT-02487",MAT-02385,"MAT-02009, MAT-02218, MAT-02487",Fixação,362719.18,40.959999999999994,8816
Caneta Inox,11,"MAT-00129, MAT-00647, MAT-00818, MAT-00827, MAT-00969, MAT-01745, MAT-01775, MAT-01960, MAT-02375, MAT-02562, MAT-06001",MAT-02562,"MAT-00129, MAT-00647, MAT-00818, MAT-00827, MAT-00969, MAT-01745, MAT-01775, MAT-01960, MAT-02375, MAT-06001",Escritório,356410.9081274082,12.406746647396545,29950
Balde Plástico,4,"MAT-00539, MAT-00640, MAT-02267, MAT-02373",MAT-00539,"MAT-00640, MAT-02267, MAT-02373",Limpeza,354706.68,157.3975,11892
Fluido Alumínio,6,"MAT-00061, MAT-00770, MAT-00946, MAT-01254, MAT-01376, MAT-06001",MAT-00946,"MAT-00061, MAT-00770, MAT-01254, MAT-01376, MAT-06001",Lubrificante,350193.2323948575,23.75189100899958,20906
Interruptor Inox,3,"MAT-01019, MAT-01682, MAT-02845",MAT-02845,"MAT-01019, MAT-01682",Elétrico,347298.73,47.376666666666665,5362
Chave Aço,5,"MAT-00312, MAT-00472, MAT-02004, MAT-02191, MAT-02895",MAT-02895,"MAT-00312, MAT-00472, MAT-02004, MAT-02191",Ferramentas,346309.62,17.514,15934
Ácido Alumínio,6,"MAT-00542, MAT-01327, MAT-01483, MAT-01919, MAT-02532, MAT-02803",MAT-01327,"MAT-00542, MAT-01483, MAT-01919, MAT-02532, MAT-02803",Químico,344021.08999999997,148.45833333333334,15610
Máscara Alumínio,4,"MAT-00954, MAT-01535, MAT-01737, MAT-02983",MAT-02983,"MAT-00954, MAT-01535, MAT-01737",EPI,340447.84,18.61,13172
Engrenagem Latão,4,"MAT-01122, MAT-01168, MAT-01658, MAT-02213",MAT-01168,"MAT-01122, MAT-01658, MAT-02213",Mecânico,340131.64999999997,36.125,5970
Gancho PVC,7,"MAT-00574, MAT-01205, MAT-01813, MAT-02168, MAT-02221, MAT-02475, MAT-02577",MAT-02168,"MAT-00574, MAT-01205, MAT-01813, MAT-02221, MAT-02475, MAT-02577",Acessórios,335076.36,17.40714285714286,13745
Capacitor PVC,4,"MAT-00608, MAT-01040, MAT-01055, MAT-01905",MAT-01905,"MAT-00608, MAT-01040, MAT-01055",Eletrônico,335037.07,32.5475,8788
Engrenagem Aço,5,"MAT-00416, MAT-00950, MAT-00956, MAT-02529, MAT-06001",MAT-00956,"MAT-00416, MAT-00950, MAT-02529, MAT-06001",Mecânico,330072.16875565366,49.58101027953361,10523
Porca M16 Cobre,3,"MAT-01329, MAT-01380, MAT-01644",MAT-01644,"MAT-01329, MAT-01380",Fixação,329386.45,49.76333333333334,7887
Junta Latão,5,"MAT-00283, MAT-01897, MAT-02349, MAT-02537, MAT-02735",MAT-02735,"MAT-00283, MAT-01897, MAT-02349, MAT-02537",Peças,322882.09,20.711999999999996,13070
Caneta Cobre,10,"MAT-00054, MAT-00164, MAT-00243, MAT-00327, MAT-00598, MAT-00928, MAT-01288, MAT-01406, MAT-02381, MAT-02416",MAT-01406,"MAT-00054, MAT-00164, MAT-00243, MAT-00327, MAT-00598, MAT-00928, MAT-01288, MAT-02381, MAT-02416",Escritório,312333.71,10.72,19324
Gancho Plástico,5,"MAT-01360, MAT-01867, MAT-01900, MAT-02090, MAT-06001",MAT-02090,"MAT-01360, MAT-01867, MAT-01900, MAT-06001",Acessórios,311526.28438351053,19.790281831078048,13438
Cabo 10mm² Latão,2,"MAT-01148, MAT-01942",MAT-01942,MAT-01148,Elétrico,309849.6,43.839999999999996,7224
Caneta Plástico,8,"MAT-00424, MAT-00942, MAT-01107, MAT-02557, MAT-02657, MAT-02721, MAT-06001, MAT-06001",MAT-01107,"MAT-00424, MAT-00942, MAT-02557, MAT-02657, MAT-02721, MAT-06001, MAT-06001",Escritório,307780.94938478566,14.740867318846902,19141
Prego PVC,7,"MAT-00340, MAT-00933, MAT-01407, MAT-02002, MAT-02492, MAT-02967, MAT-06001",MAT-02492,"MAT-00340, MAT-00933, MAT-01407, MAT-02002, MAT-02967, MAT-06001",Fixação,305117.67605929985,27.871171108285786,14329
Presilha PVC,4,"MAT-00854, MAT-01434, MAT-02219, MAT-06001",MAT-00854,"MAT-01434, MAT-02219, MAT-06001",Acessórios,304865.7828558014,32.91395270562076,7813
Desinfetante PVC,7,"MAT-00657, MAT-00911, MAT-01567, MAT-01920, MAT-02165, MAT-02872, MAT-06001",MAT-00657,"MAT-00911, MAT-01567, MAT-01920, MAT-02165, MAT-02872, MAT-06001",Limpeza,304019.5165443019,13.343254631689874,26690
Registro Cobre,8,"MAT-00483, MAT-00769, MAT-01016, MAT-01991, MAT-02096, MAT-02250, MAT-02701, MAT-06001",MAT-02096,"MAT-00483, MAT-00769, MAT-01016, MAT-01991, MAT-02250, MAT-02701, MAT-06001",Hidráulico,303508.6573433309,47.96260865623049,26900
Porca M12 Aço,2,"MAT-01405, MAT-02447",MAT-02447,MAT-01405,Fixação,299592.18,50.39,4562
Catalisador Latão,9,"MAT-00186, MAT-00284, MAT-00831, MAT-01631, MAT-02481, MAT-02661, MAT-02703, MAT-02991, MAT-06001",MAT-02481,"MAT-00186, MAT-00284, MAT-00831, MAT-01631, MAT-02661, MAT-02703, MAT-02991, MAT-06001",Químico,293169.8914620276,40.302645011766884,15777
Reagente Latão,2,"MAT-00385, MAT-01357",MAT-01357,MAT-00385,Químico,283906.6,254.32999999999998,4980
"Tubo 1/2"" Plástico",3,"MAT-00561, MAT-01346, MAT-01552",MAT-00561,"MAT-01346, MAT-01552",Hidráulico,283821.8,72.28333333333335,3319
Anel Alumínio,5,"MAT-00101, MAT-00476, MAT-00500, MAT-02368, MAT-02644",MAT-00476,"MAT-00101, MAT-00500, MAT-02368, MAT-02644",Peças,282165.4,16.642000000000003,10624
Solvente Alumínio,7,"MAT-00847, MAT-01560, MAT-01969, MAT-02111, MAT-02688, MAT-06001, MAT-06001",MAT-02688,"MAT-00847, MAT-01560, MAT-01969, MAT-02111, MAT-06001, MAT-06001",Químico,280708.4943462864,88.99846386413591,3472
Papelão Latão,5,"MAT-00119, MAT-00313, MAT-01594, MAT-02032, MAT-02881",MAT-00119,"MAT-00313, MAT-01594, MAT-02032, MAT-02881",Embalagem,279381.51,25.140000000000004,10845
Retentor Alumínio,8,"MAT-00008, MAT-00344, MAT-00499, MAT-00842, MAT-01864, MAT-02229, MAT-02370, MAT-02731",MAT-00499,"MAT-00008, MAT-00344, MAT-00842, MAT-01864, MAT-02229, MAT-02370, MAT-02731",Peças,275633.81,155.3225,19218
Capacitor Plástico,3,"MAT-02343, MAT-02759, MAT-02964",MAT-02343,"MAT-02759, MAT-02964",Eletrônico,273960.88,19.753333333333334,11860
Detergente Latão,4,"MAT-00747, MAT-02189, MAT-02579, MAT-02586",MAT-02586,"MAT-00747, MAT-02189, MAT-02579",Limpeza,269589.58,18.310000000000002,9559
Eixo Alumínio,9,"MAT-00420, MAT-00789, MAT-00967, MAT-01221, MAT-01430, MAT-01614, MAT-01895, MAT-01907, MAT-02065",MAT-02065,"MAT-00420, MAT-00789, MAT-00967, MAT-01221, MAT-01430, MAT-01614, MAT-01895, MAT-01907",Mecânico,268525.18,46.94888888888889,14755
Furadeira Aço,6,"MAT-00341, MAT-01123, MAT-01579, MAT-02106, MAT-02298, MAT-06001",MAT-01579,"MAT-00341, MAT-01123, MAT-02106, MAT-02298, MAT-06001",Ferramentas,265029.41059351456,27.793772147321263,16559
Rebite Alumínio,4,"MAT-00068, MAT-00408, MAT-00816, MAT-02954",MAT-00816,"MAT-00068, MAT-00408, MAT-02954",Fixação,260850.94999999998,340.7,7414
Módulo PVC,9,"MAT-00801, MAT-01076, MAT-01242, MAT-01623, MAT-01705, MAT-01902, MAT-02653, MAT-02785, MAT-06001",MAT-01076,"MAT-00801, MAT-01242, MAT-01623, MAT-01705, MAT-01902, MAT-02653, MAT-02785, MAT-06001",Eletrônico,245250.10733237021,16.155739016996165,18153
Catalisador Inox,6,"MAT-00292, MAT-00735, MAT-01448, MAT-01794, MAT-02816, MAT-06001",MAT-01794,"MAT-00292, MAT-00735, MAT-01448, MAT-02816, MAT-06001",Químico,242016.94521457108,26.94369565205103,14358
Reagente Cobre,3,"MAT-00524, MAT-02482, MAT-02544",MAT-02544,"MAT-00524, MAT-02482",Químico,239266.97999999998,24.666666666666668,6390
Furadeira Cobre,4,"MAT-01073, MAT-01616, MAT-01826, MAT-02274",MAT-01826,"MAT-01073, MAT-01616, MAT-02274",Ferramentas,238240.65999999997,34.9775,4015
Presilha Plástico,7,"MAT-00565, MAT-00987, MAT-01449, MAT-01543, MAT-02139, MAT-02609, MAT-02752",MAT-00565,"MAT-00987, MAT-01449, MAT-01543, MAT-02139, MAT-02609, MAT-02752",Acessórios,233788.99,16.625714285714285,15140
Serra PVC,3,"MAT-00038, MAT-00596, MAT-01020",MAT-01020,"MAT-00038, MAT-00596",Ferramentas,227614.59,37.78,5582
Desinfetante Alumínio,5,"MAT-00295, MAT-01088, MAT-01950, MAT-02097, MAT-02112",MAT-02097,"MAT-00295, MAT-01088, MAT-01950, MAT-02112",Limpeza,225960.78999999998,14.02,14902
Cabo 6mm² Plástico,4,"MAT-00130, MAT-01094, MAT-01830, MAT-02638",MAT-00130,"MAT-01094, MAT-01830, MAT-02638",Elétrico,225819.01,41.435,6632
Suporte Inox,3,"MAT-01239, MAT-01480, MAT-01565",MAT-01239,"MAT-01480, MAT-01565",Acessórios,223238.45,17.19666666666667,10514
Lâmpada Alumínio,4,"MAT-01253, MAT-02079, MAT-02598, MAT-06001",MAT-02079,"MAT-01253, MAT-02598, MAT-06001",Elétrico,221053.1036471217,38.81977712593758,3266
Grampeador Latão,5,"MAT-00363, MAT-01061, MAT-01324, MAT-01630, MAT-06001",MAT-01061,"MAT-00363, MAT-01324, MAT-01630, MAT-06001",Escritório,220610.65650865986,12.18995060039951,18012
Vedação Plástico,4,"MAT-01130, MAT-01634, MAT-02263, MAT-02909",MAT-02263,"MAT-01130, MAT-01634, MAT-02909",Peças,216762.72999999998,28.72,8124
luva XG Alumínio,2,"MAT-02084, MAT-06001",MAT-02084,MAT-06001,EPI,215824.0343489576,37.57382213596058,5744
Suporte Aço,6,"MAT-00571, MAT-00918, MAT-01591, MAT-02540, MAT-02641, MAT-06001",MAT-00918,"MAT-00571, MAT-01591, MAT-02540, MAT-02641, MAT-06001",Acessórios,214499.33493824393,36.54690841503564,16949
capacete Plástico,7,"MAT-00507, MAT-00921, MAT-01310, MAT-01655, MAT-01661, MAT-02244, MAT-02260",MAT-02244,"MAT-00507, MAT-00921, MAT-01310, MAT-01655, MAT-01661, MAT-02260",EPI,212145.91999999998,16.11285714285714,16820
Cilindro Cobre,3,"MAT-02278, MAT-02488, MAT-02716",MAT-02278,"MAT-02488, MAT-02716",Pneumático,211665.92,15.933333333333335,9995
Balde Cobre,4,"MAT-00305, MAT-02614, MAT-02923, MAT-02965",MAT-02923,"MAT-00305, MAT-02614, MAT-02965",Limpeza,208343.78,19.0225,13870
Spray Inox,4,"MAT-02115, MAT-02302, MAT-02978, MAT-02993",MAT-02993,"MAT-02115, MAT-02302, MAT-02978",Lubrificante,205283.59,11.727500000000001,14648
Lâmpada Plástico,7,"MAT-00260, MAT-00733, MAT-01910, MAT-02396, MAT-02401, MAT-02784, MAT-02829",MAT-02829,"MAT-00260, MAT-00733, MAT-01910, MAT-02396, MAT-02401, MAT-02784",Elétrico,203748.51,19.28,14019
Ácido Plástico,6,"MAT-00644, MAT-00957, MAT-01226, MAT-01684, MAT-02493, MAT-02587",MAT-00957,"MAT-00644, MAT-01226, MAT-01684, MAT-02493, MAT-02587",Químico,198144.72,30.19333333333333,11365
Detergente Aço,4,"MAT-00412, MAT-00620, MAT-02440, MAT-06001",MAT-00620,"MAT-00412, MAT-02440, MAT-06001",Limpeza,198093.20175478028,26.460681808621874,12163
Papel Inox,7,"MAT-00196, MAT-00429, MAT-01126, MAT-01853, MAT-02498, MAT-02533, MAT-06001",MAT-01853,"MAT-00196, MAT-00429, MAT-01126, MAT-02498, MAT-02533, MAT-06001",Escritório,196031.13060351074,18.401452230104447,12145
Spray Aço,3,"MAT-00039, MAT-00656, MAT-01487",MAT-00039,"MAT-00656, MAT-01487",Lubrificante,194425.78,55.90333333333333,7103
Clips Inox,5,"MAT-00082, MAT-00304, MAT-01569, MAT-01696, MAT-01955",MAT-01696,"MAT-00082, MAT-00304, MAT-01569, MAT-01955",Escritório,193747.5,18.978,10844
Spray Cobre,4,"MAT-00579, MAT-01365, MAT-02985, MAT-06001",MAT-02985,"MAT-00579, MAT-01365, MAT-06001",Lubrificante,193044.59438002371,22.623015473699166,8836
Presilha Latão,4,"MAT-00105, MAT-00394, MAT-01549, MAT-01790",MAT-01549,"MAT-00105, MAT-00394, MAT-01790",Acessórios,189837.66999999998,235.565,8535
Grampeador Aço,6,"MAT-01272, MAT-01399, MAT-01854, MAT-02001, MAT-02567, MAT-02860",MAT-01272,"MAT-01399, MAT-01854, MAT-02001, MAT-02567, MAT-02860",Escritório,187240.47999999998,18.064999999999998,13879
Bota Latão,10,"MAT-00175, MAT-00650, MAT-00680, MAT-01255, MAT-01611, MAT-01702, MAT-02048, MAT-02067, MAT-02563, MAT-02697",MAT-00175,"MAT-00650, MAT-00680, MAT-01255, MAT-01611, MAT-01702, MAT-02048, MAT-02067, MAT-02563, MAT-02697",EPI,187227.85,22.72,22710
